Title;Description;Show_type;runtime;Release_year;genres;imdb_score;imdb_votes;tmdb_popularity;tmdb_score
These Three;Martha and Karen graduate from college and turn an old Massachusetts farm into a school for girls. The friends are aided in their venture by local doctor Joe Cardin, who begins a relationship with Karen, and a prominent woman whose granddaughter, Mary, later enrolls in the new school. Mary soon reveals herself to be a spiteful child and tells a scandalous lie about Martha and Joe that threatens to destroy the lives of all involved.;MOVIE;93;1936;['romance', 'drama'];7.4;2705;3.913;7.3
Smash-Up: The Story of a Woman;A nightclub singer uses alcohol in excess to sooth her painful life.;MOVIE;103;1947;['drama', 'music', 'romance'];6.4;1489;2.302;6
Submarine Warfare;In the late 1800's the father of submarines, Mr John Holland, hit upon the idea of powering a submarine with an internal combustion engine and an electric motor. For over a hundred years, since the first semi-successful attempts during the American Civil War, submarine warfare had been fraught with difficulties and failure. In 1901, the Holland I was launched as the first Royal Navy submarine and submarines have been an integral part of the Navy ever since.;MOVIE;38;1944;['war', 'documentation'];5.9;9;0.6;
Impact;After surviving a murder attempt, an auto magnate goes into hiding so his wife can pay for the crime.;MOVIE;111;1949;['thriller', 'crime', 'drama'];7;3809;4.016;6.3
The Amazing Mr. X;On the beach one night, Christine Faber, two years a widow, thinks she hears her late husband Paul calling out of the surf...then meets a tall dark man, Alexis, who seems to know all about such things. After more ghostly manifestations, Christine and younger sister Janet become enmeshed in the eerie artifices of Alexis, but he in turn finds himself manipulated into deeper deviltry than he had in mind...;MOVIE;78;1948;['thriller', 'horror'];6.4;1789;4.024;6.1
The Green Hornet;A newspaper publisher and his Korean servant fight crime as vigilantes who pose as a notorious masked gangster and his aide.;MOVIE;258;1940;['crime', 'drama', 'family', 'scifi', 'thriller'];6.5;609;1.164;5.9
College;Brilliant in his studies and dismissive of athletics, Ronald finishes high school at the top of his class. But in college his uptight attitude doesn't win him any points with his sports-loving classmates, and pretty coed Mary ignores him in favor of brutish jock Jeff. Hoping to impress Mary, Ronald makes a buffoon of himself at every sport imaginable.;MOVIE;66;1927;['comedy', 'drama', 'sport'];7;4836;5.164;6.8
The Devil Bat;Dr. Carruthers feels bitter at being betrayed by his employers, Heath and Morton, when they became rich as a result of a product he devised. He gains revenge by electrically enlarging bats and sending them out to kill his employers' family members by instilling in the bats a hatred for a particular perfume he has discovered, which he gets his victims to apply before going outdoors. Johnny Layton, a reporter, finally figures out Carruthers is the killer and, after putting the perfume on himself, douses it on Carruthers in the hopes it will get him to give himself away. One of the two is attacked as the giant bat makes one of its screaming, swooping power dives.;MOVIE;68;1940;['horror', 'scifi'];5.5;3006;3.612;5.3
A Song Is Born;The story of seven scholars in search of an expert to teach them about swing music. They seem to have found the perfect candidate in winsome nightclub singer Honey Swanson. But Honey's gangster boyfriend doesn't want to give her up.;MOVIE;113;1948;['music', 'action', 'comedy', 'romance'];6.9;2489;3.459;6.5
What's My Line?;Four panelists must determine guests' occupations - and, in the case of famous guests, while blindfolded, their identity - by asking only "yes" or "no" questions.;SHOW;30;1950;['reality', 'family'];8.6;1563;87.392;6.9
